GPT Version,Experiment,Top N,Prompt,Input Type,Non-consistent Experiment,Total Experiment Count,Nonzero Experiment Count,Non-consistent Rate,Non-consistent Rate in Nonzeros
gpt-4,fewshot,10,Few-Shot Prompts,HPO,144,150,145,0.96,0.99
gpt-3.5-turbo,fewshot,10,Few-Shot Prompts,HPO,130,153,133,0.85,0.98
gpt-3.5-turbo,gpt,50,Original,HPO,19,276,45,0.07,0.42
llama-2-70b-chat,llama2,50,Original + Role + Instruction,Free-text,46,125,119,0.37,0.39
llama-2-70b-chat,llama2,10,Original + Role + Instruction,Free-text,32,125,103,0.26,0.31
llama-2-13b-chat,llama2,10,Original + Role + Instruction,HPO,83,276,275,0.3,0.3
llama-2-70b-chat,llama2,50,Original + Role + Instruction,HPO,76,276,260,0.28,0.29
gpt-3.5-turbo,gpt,50,Original,Free-text,8,125,29,0.06,0.28
llama-2-70b-chat,llama2,10,Original + Role + Instruction,HPO,69,276,264,0.25,0.26
gpt-3.5-turbo,gpt,10,Original,HPO,15,276,67,0.05,0.22
llama-2-7b-chat,llama2,10,Original + Role + Instruction,HPO,51,276,259,0.18,0.2
llama-2-13b-chat,llama2,50,Original + Role + Instruction,HPO,29,276,155,0.11,0.19
gpt-4,gpt,50,Original + Role,HPO,42,276,236,0.15,0.18
gpt-4,gpt,50,Original,HPO,43,276,254,0.16,0.17
gpt-3.5-turbo,gpt,50,Original + Role,HPO,36,276,215,0.13,0.17
gpt-4,gpt,50,Original,Free-text,18,125,122,0.14,0.15
gpt-4,gpt,50,Original + Role,Free-text,16,125,120,0.13,0.13
gpt-3.5-turbo,gpt,50,Original + Instruction,HPO,26,276,203,0.09,0.13
gpt-3.5-turbo,gpt,50,Original + Role,Free-text,10,125,78,0.08,0.13
gpt-3.5-turbo,newgpt,10,Original + Role + Instruction,Free-text,25,251,211,0.1,0.12
llama-2-7b-chat,llama2,50,Original + Role + Instruction,HPO,20,276,165,0.07,0.12
llama-2-7b-chat,llama2,50,Original + Role + Instruction,Free-text,8,125,67,0.06,0.12
gpt-3.5-turbo,gpt,50,Original + Instruction,Free-text,11,125,99,0.09,0.11
llama-2-7b-chat,llama2,10,Original + Role + Instruction,Free-text,13,125,114,0.1,0.11
gpt-3.5-turbo,gpt,10,Original + Role,Free-text,9,125,87,0.07,0.1
gpt-3.5-turbo,gpt,10,Original,Free-text,6,125,68,0.05,0.09
gpt-3.5-turbo,gpt,10,Original + Role,HPO,17,276,179,0.06,0.09
gpt-4,gpt,50,Original + Role + Instruction,HPO,25,276,268,0.09,0.09
gpt-3.5-turbo,gpt,50,Original + Role + Instruction,HPO,24,276,256,0.09,0.09
llama-2-13b-chat,llama2,50,Original + Role + Instruction,Free-text,6,125,74,0.05,0.08
gpt-4,gpt,50,Original + Role + Instruction,Free-text,10,125,124,0.08,0.08
gpt-3.5-turbo,gpt,50,Original + Role + Instruction,Free-text,8,125,113,0.06,0.07
text-embedding-3-large-phenotypes,rag,10,Original + Role + Instruction,HPO,18,276,261,0.07,0.07
gpt-3.5-turbo,gpt,10,Original + Instruction,HPO,16,276,220,0.06,0.07
gpt-4,gpt,50,Original + Instruction,HPO,16,276,272,0.06,0.06
gpt-4,gpt,50,Original + Instruction,Free-text,6,125,123,0.05,0.05
gpt-3.5-turbo,gpt,10,Original + Instruction,Free-text,5,125,119,0.04,0.04
text-embedding-3-small-phenotypes,rag,10,Original + Role + Instruction,HPO,7,276,253,0.03,0.03
gpt-4,gpt,10,Original + Role,HPO,7,276,271,0.03,0.03
llama-2-13b-chat,llama2,10,Original + Role + Instruction,Free-text,3,125,122,0.02,0.02
gpt-4,gpt,10,Original,HPO,5,276,274,0.02,0.02
gpt-4,newgpt,10,Original + Role + Instruction,Free-text,4,251,250,0.02,0.02
gpt-4,gpt,10,Original + Role + Instruction,Free-text,1,125,124,0.01,0.01
gpt-4,gpt,10,Original + Role,Free-text,1,125,123,0.01,0.01
text-embedding-3-small-genes,rag,10,Original + Role + Instruction,HPO,4,276,269,0.01,0.01
gpt-3.5-turbo,gpt,10,Original + Role + Instruction,HPO,1,276,275,0.0,0.0
