GPT Version,Experiment,Top N,Prompt,Input Type,Non-consistent Experiment,Total Experiment Count,Nonzero Experiment Count,Non-consistent Rate,Non-consistent Rate in Nonzeros
gpt-4,fewshot,10,Few-Shot Prompts,HPO,21,150,21,0.14,1.0
gpt-3.5-turbo,fewshot,10,Few-Shot Prompts,HPO,16,153,18,0.1,0.89
llama-2-70b-chat,llama2,10,Original + Role + Instruction,Free-text,5,125,7,0.04,0.71
llama-2-7b-chat,llama2,50,Original + Role + Instruction,Free-text,2,125,3,0.02,0.67
llama-2-70b-chat,llama2,50,Original + Role + Instruction,HPO,18,276,29,0.07,0.62
gpt-3.5-turbo,gpt,10,Original,HPO,3,276,5,0.01,0.6
llama-2-13b-chat,llama2,50,Original + Role + Instruction,HPO,11,276,22,0.04,0.5
llama-2-70b-chat,llama2,10,Original + Role + Instruction,HPO,13,276,26,0.05,0.5
gpt-4,gpt,50,Original + Role + Instruction,HPO,31,276,69,0.11,0.45
gpt-4,gpt,50,Original,HPO,28,276,62,0.1,0.45
llama-2-13b-chat,llama2,10,Original + Role + Instruction,HPO,9,276,22,0.03,0.41
gpt-4,gpt,50,Original + Instruction,HPO,25,276,61,0.09,0.41
gpt-4,gpt,50,Original + Role,HPO,25,276,63,0.09,0.4
gpt-3.5-turbo,gpt,50,Original,HPO,3,276,8,0.01,0.38
llama-2-7b-chat,llama2,50,Original + Role + Instruction,HPO,4,276,11,0.01,0.36
gpt-3.5-turbo,gpt,50,Original + Role,HPO,14,276,40,0.05,0.35
gpt-4,gpt,50,Original,Free-text,6,125,18,0.05,0.33
text-embedding-3-large-genes,rag,10,Original + Role + Instruction,HPO,10,276,30,0.04,0.33
gpt-3.5-turbo,gpt,50,Original + Role + Instruction,HPO,14,276,54,0.05,0.26
gpt-3.5-turbo,gpt,10,Original + Role,HPO,3,276,12,0.01,0.25
gpt-3.5-turbo,gpt,50,Original,Free-text,1,125,4,0.01,0.25
gpt-4,gpt,50,Original + Instruction,Free-text,4,125,17,0.03,0.24
llama-2-7b-chat,llama2,10,Original + Role + Instruction,HPO,3,276,14,0.01,0.21
gpt-4,gpt,10,Original,HPO,9,276,45,0.03,0.2
gpt-3.5-turbo,gpt,50,Original + Instruction,HPO,7,276,36,0.03,0.19
gpt-4,gpt,50,Original + Role,Free-text,3,125,16,0.02,0.19
gpt-3.5-turbo,gpt,10,Original + Instruction,HPO,5,276,26,0.02,0.19
gpt-4,gpt,50,Original + Role + Instruction,Free-text,3,125,17,0.02,0.18
llama-2-70b-chat,llama2,50,Original + Role + Instruction,Free-text,1,125,6,0.01,0.17
llama-2-7b-chat,llama2,10,Original + Role + Instruction,Free-text,1,125,6,0.01,0.17
gpt-3.5-turbo,newgpt,10,Original + Role + Instruction,Free-text,11,251,67,0.04,0.16
text-embedding-3-small-genes,rag,10,Original + Role + Instruction,HPO,3,276,22,0.01,0.14
gpt-3.5-turbo,gpt,50,Original + Instruction,Free-text,2,125,14,0.02,0.14
gpt-4,gpt,10,Original + Instruction,HPO,6,276,46,0.02,0.13
gpt-4,gpt,10,Original + Role,HPO,6,276,45,0.02,0.13
gpt-4,gpt,10,Original + Role,Free-text,2,125,15,0.02,0.13
gpt-4,gpt,10,Original + Role + Instruction,HPO,4,276,42,0.01,0.1
gpt-4,newgpt,10,Original + Role + Instruction,Free-text,7,251,82,0.03,0.09
gpt-3.5-turbo,gpt,50,Original + Role,Free-text,1,125,11,0.01,0.09
gpt-3.5-turbo,gpt,10,Original + Instruction,Free-text,1,125,11,0.01,0.09
gpt-4,gpt,10,Original + Instruction,Free-text,1,125,15,0.01,0.07
gpt-3.5-turbo,gpt,50,Original + Role + Instruction,Free-text,1,125,14,0.01,0.07
gpt-4,gpt,10,Original + Role + Instruction,Free-text,1,125,16,0.01,0.06
gpt-3.5-turbo,gpt,10,Original + Role + Instruction,HPO,1,276,30,0.0,0.03
