GPT Version,Experiment,Top N,Prompt,Input Type,Non-consistent Experiment,Total Experiment Count,Nonzero Experiment Count,Non-consistent Rate,Non-consistent Rate in Nonzeros
gpt-4,fewshot,10,Few-Shot Prompts,HPO,127,150,127,0.85,1.0
llama-2-7b-chat,llama2,10,Original + Role + Instruction,HPO,1,276,1,0.0,1.0
llama-2-70b-chat,llama2,50,Original + Role + Instruction,HPO,2,276,2,0.01,1.0
llama-2-70b-chat,llama2,50,Original + Role + Instruction,Free-text,1,125,1,0.01,1.0
llama-2-70b-chat,llama2,10,Original + Role + Instruction,HPO,1,276,1,0.0,1.0
gpt-3.5-turbo,gpt,10,Original + Role + Instruction,HPO,1,276,1,0.0,1.0
llama-2-70b-chat,llama2,10,Original + Role + Instruction,Free-text,1,125,1,0.01,1.0
llama-2-13b-chat,llama2,50,Original + Role + Instruction,Free-text,5,125,5,0.04,1.0
gpt-3.5-turbo,gpt,50,Original + Role + Instruction,Free-text,1,125,1,0.01,1.0
gpt-3.5-turbo,fewshot,10,Few-Shot Prompts,HPO,130,153,133,0.85,0.98
llama-2-7b-chat,llama2,50,Original + Role + Instruction,HPO,4,276,5,0.01,0.8
gpt-4,gpt,50,Original,Free-text,82,125,105,0.66,0.78
gpt-4,gpt,50,Original + Role + Instruction,Free-text,80,125,109,0.64,0.73
gpt-4,gpt,50,Original + Instruction,HPO,180,276,251,0.65,0.72
llama-2-13b-chat,llama2,50,Original + Role + Instruction,HPO,5,276,7,0.02,0.71
gpt-4,gpt,50,Original + Role,Free-text,76,125,110,0.61,0.69
gpt-4,gpt,50,Original,HPO,162,276,234,0.59,0.69
gpt-4,gpt,50,Original + Role + Instruction,HPO,161,276,240,0.58,0.67
gpt-4,gpt,50,Original + Instruction,Free-text,68,125,104,0.54,0.65
gpt-4,gpt,50,Original + Role,HPO,154,276,245,0.56,0.63
gpt-3.5-turbo,gpt,10,Original + Instruction,Free-text,5,125,11,0.04,0.45
gpt-3.5-turbo,gpt,50,Original + Role,HPO,26,276,71,0.09,0.37
gpt-3.5-turbo,gpt,50,Original + Instruction,Free-text,3,125,9,0.02,0.33
gpt-3.5-turbo,gpt,50,Original + Instruction,HPO,10,276,51,0.04,0.2
gpt-3.5-turbo,gpt,10,Original + Instruction,HPO,14,276,69,0.05,0.2
gpt-3.5-turbo,gpt,10,Original + Role,Free-text,8,125,47,0.06,0.17
gpt-3.5-turbo,gpt,50,Original,Free-text,9,125,56,0.07,0.16
gpt-3.5-turbo,gpt,10,Original + Role,HPO,19,276,117,0.07,0.16
gpt-3.5-turbo,gpt,50,Original,HPO,31,276,195,0.11,0.16
gpt-3.5-turbo,gpt,50,Original + Role,Free-text,6,125,40,0.05,0.15
gpt-3.5-turbo,gpt,10,Original,Free-text,7,125,64,0.06,0.11
gpt-3.5-turbo,gpt,10,Original,HPO,16,276,224,0.06,0.07
gpt-3.5-turbo,newgpt,10,Original + Role + Instruction,Free-text,9,251,251,0.04,0.04
text-embedding-3-large-phenotypes,rag,10,Original + Role + Instruction,HPO,7,276,274,0.03,0.03
text-embedding-3-small-phenotypes,rag,10,Original + Role + Instruction,HPO,7,276,267,0.03,0.03
text-embedding-3-small-genes,rag,10,Original + Role + Instruction,HPO,6,276,272,0.02,0.02
gpt-4,gpt,10,Original + Role + Instruction,Free-text,1,125,125,0.01,0.01
text-embedding-3-large-genes,rag,10,Original + Role + Instruction,HPO,1,276,274,0.0,0.0
